Job_ID,Job_Role,Company,Location,Phone_Number,Employment_Type,Experience_Required,Education_Level,Industry,Remote_Type,Skills_Required,Salary_LPA,Company_Rating,Applicants_Count,Post_Days_Ago
4023,AI Engineer,IBM,Coimbatore,9824304782,Internship,5-8 years,Bachelors,Software,On-site,"React, TensorFlow, AWS, Kubernetes",39,3.9,681,11
4024,Backend Developer,Microsoft,Pune,7871817237,Internship,5-8 years,Bachelors,FinTech,Hybrid,"Docker, Pandas, JavaScript, React",40,3.8,152,26
4025,Frontend Developer,Accenture,Delhi,9240578795,Contract,5-8 years,Bachelors,E-commerce,Remote,"Pandas, Machine Learning, Python, SQL",27,4.5,579,17
4026,Backend Developer,Flipkart,Bangalore,6931893151,Internship,8+ years,Bachelors,Software,Remote,"AWS, Machine Learning, React, Java",25,3.5,586,12
4027,Frontend Developer,Zoho,Bangalore,6817021195,Internship,0-1 years,Bachelors,Cloud,Hybrid,"Machine Learning, TensorFlow, AWS, Docker",15,4.8,597,12
4028,Backend Developer,Cognizant,Chennai,8516222124,Internship,8+ years,PhD,FinTech,On-site,"Machine Learning, SQL, Node.js, Python",25,4.5,328,7
4029,Frontend Developer,Zoho,Chennai,6460012914,Full-Time,5-8 years,Masters,Software,Hybrid,"React, Java, SQL, Power BI",38,3.4,26,13
4030,Frontend Developer,IBM,Gurgaon,7328651371,Full-Time,1-3 years,Bachelors,Software,Hybrid,"React, Machine Learning, Python, Node.js",25,3.9,199,6
4031,Full Stack Developer,Amazon,Hyderabad,6414189732,Contract,3-5 years,Bachelors,AI,Remote,"Java, Tableau, PyTorch, JavaScript",36,4.6,297,1
4032,Cloud Engineer,Infosys,Delhi,9815093574,Part-Time,8+ years,Masters,Healthcare,Hybrid,"Tableau, PyTorch, JavaScript, Java",33,3.5,216,6
4033,Data Analyst,SAP,Noida,7817719624,Part-Time,0-1 years,PhD,Cloud,Hybrid,"AWS, PyTorch, Pandas, React",31,3.8,313,19
4034,AI Engineer,Accenture,Coimbatore,9716248625,Full-Time,0-1 years,PhD,Cloud,Remote,"SQL, React, Java, JavaScript",11,4.8,41,30
4035,DevOps Engineer,Infosys,Ahmedabad,7816304588,Part-Time,0-1 years,Masters,Cloud,Hybrid,"Power BI, React, Machine Learning, JavaScript",39,4.8,768,13
4036,Software Engineer,Cognizant,Gurgaon,6402219467,Contract,0-1 years,PhD,Software,Remote,"Tableau, PyTorch, Machine Learning, Python",38,4.2,272,5
4037,DevOps Engineer,IBM,Gurgaon,7656244241,Full-Time,1-3 years,Bachelors,Healthcare,Remote,"PyTorch, TensorFlow, Tableau, Pandas",18,3.2,136,13
4038,Frontend Developer,Oracle,Mumbai,8389617222,Contract,1-3 years,PhD,E-commerce,On-site,"Docker, TensorFlow, Machine Learning, Node.js",19,4.5,37,1
4039,Backend Developer,Oracle,Hyderabad,8395374874,Internship,5-8 years,PhD,FinTech,Remote,"Power BI, AWS, Python, Docker",35,4.8,483,27
4040,Machine Learning Engineer,TCS,Kolkata,8149954426,Internship,5-8 years,Bachelors,FinTech,Remote,"Power BI, Kubernetes, AWS, Docker",18,3.9,360,4
4041,Software Engineer,Accenture,Mumbai,6460378620,Internship,5-8 years,Masters,FinTech,On-site,"Machine Learning, PyTorch, Kubernetes, AWS",23,3.1,52,21
4042,Data Scientist,Infosys,Mumbai,9159931205,Full-Time,8+ years,PhD,FinTech,Remote,"PyTorch, AWS, TensorFlow, React",4,3.7,117,26
4043,Backend Developer,Cognizant,Noida,6258688738,Part-Time,0-1 years,PhD,E-commerce,Remote,"PyTorch, AWS, JavaScript, Java",11,3.9,542,4
4044,Business Analyst,Capgemini,Chennai,9661644241,Internship,0-1 years,PhD,AI,Hybrid,"Java, Python, Node.js, Tableau",8,3.9,430,28
4045,Data Scientist,Cognizant,Kolkata,6496311456,Contract,8+ years,Masters,E-commerce,On-site,"React, Python, Power BI, PyTorch",38,3.9,416,19
4046,Frontend Developer,Freshworks,Delhi,8230589666,Part-Time,0-1 years,Bachelors,FinTech,Remote,"Node.js, React, TensorFlow, Tableau",27,4.2,733,15
4047,Full Stack Developer,Microsoft,Ahmedabad,8949458390,Full-Time,3-5 years,Bachelors,Cloud,On-site,"Node.js, JavaScript, TensorFlow, Docker",5,4.7,54,6
4048,AI Engineer,Accenture,Noida,9808569958,Full-Time,8+ years,Masters,AI,Remote,"Machine Learning, Docker, Node.js, PyTorch",27,5.0,535,9
4049,Data Scientist,Microsoft,Pune,6013809176,Full-Time,5-8 years,Bachelors,Software,Hybrid,"JavaScript, React, Machine Learning, Power BI",37,3.9,762,9
4050,Data Analyst,Zoho,Chennai,6952331100,Full-Time,3-5 years,PhD,IT Services,Hybrid,"Tableau, Kubernetes, Machine Learning, PyTorch",24,3.5,142,6
4051,Data Scientist,Wipro,Coimbatore,9629205178,Contract,5-8 years,Bachelors,Software,Remote,"Kubernetes, Node.js, Python, PyTorch",10,4.9,222,2
4052,Frontend Developer,Freshworks,Delhi,8000413381,Contract,3-5 years,Masters,E-commerce,Hybrid,"SQL, React, PyTorch, TensorFlow",23,4.7,473,11
4053,Backend Developer,SAP,Ahmedabad,6289970588,Internship,8+ years,Masters,IT Services,On-site,"Java, React, AWS, PyTorch",31,5.0,138,2
4054,Cloud Engineer,Cognizant,Pune,8655824640,Internship,5-8 years,Masters,IT Services,On-site,"TensorFlow, PyTorch, Java, SQL",21,4.3,356,4
4055,AI Engineer,Wipro,Hyderabad,6035839263,Part-Time,0-1 years,PhD,AI,On-site,"Java, Node.js, SQL, Tableau",18,4.0,719,19
4056,DevOps Engineer,IBM,Noida,8157416253,Full-Time,5-8 years,Masters,Healthcare,On-site,"Tableau, TensorFlow, Pandas, PyTorch",8,4.9,329,27
4057,Data Analyst,Amazon,Delhi,7258489585,Full-Time,8+ years,Bachelors,FinTech,Hybrid,"Node.js, Java, Power BI, TensorFlow",38,3.7,766,8
4058,Machine Learning Engineer,IBM,Coimbatore,6600814712,Contract,8+ years,Masters,IT Services,Remote,"PyTorch, SQL, AWS, Tableau",5,3.3,681,15
4059,Data Analyst,Capgemini,Coimbatore,9110590613,Contract,8+ years,Masters,E-commerce,Hybrid,"AWS, Pandas, React, Power BI",12,3.4,366,11
4060,Business Analyst,SAP,Mumbai,7534583632,Full-Time,3-5 years,PhD,FinTech,On-site,"JavaScript, TensorFlow, Java, Tableau",23,3.6,232,26
4061,DevOps Engineer,Microsoft,Ahmedabad,6813112471,Full-Time,3-5 years,PhD,Healthcare,Remote,"JavaScript, React, Kubernetes, Power BI",8,4.7,160,19
4062,Business Analyst,Flipkart,Mumbai,9485455250,Contract,1-3 years,Bachelors,AI,Remote,"Tableau, TensorFlow, JavaScript, Node.js",12,3.1,370,28
4063,Backend Developer,Infosys,Bangalore,8105174007,Internship,5-8 years,Bachelors,Healthcare,On-site,"React, Tableau, Pandas, JavaScript",11,3.1,239,24
4064,Backend Developer,Microsoft,Bangalore,6143875703,Part-Time,5-8 years,PhD,AI,Hybrid,"AWS, Power BI, PyTorch, Tableau",35,3.6,349,3
4065,Software Engineer,Infosys,Bangalore,8463624760,Part-Time,5-8 years,Bachelors,FinTech,Hybrid,"Tableau, Pandas, TensorFlow, SQL",6,3.5,173,15
4066,DevOps Engineer,Infosys,Hyderabad,6945565966,Part-Time,8+ years,Bachelors,FinTech,Remote,"Power BI, Docker, PyTorch, React",13,4.6,729,7
4067,Backend Developer,Amazon,Chennai,9715711997,Internship,8+ years,Masters,Cloud,Remote,"Docker, Pandas, PyTorch, Java",24,4.7,772,8
4068,Product Manager,Amazon,Pune,6201809804,Part-Time,0-1 years,PhD,IT Services,Remote,"SQL, AWS, Power BI, PyTorch",36,4.1,147,14
4069,AI Engineer,IBM,Hyderabad,7584721514,Internship,0-1 years,Masters,IT Services,Remote,"React, AWS, PyTorch, Python",6,4.0,570,30
4070,Frontend Developer,Freshworks,Noida,8715972518,Internship,8+ years,Masters,IT Services,Remote,"TensorFlow, Machine Learning, Python, Tableau",36,3.3,780,12
4071,AI Engineer,Cognizant,Ahmedabad,6879886041,Full-Time,8+ years,PhD,Healthcare,Hybrid,"Docker, AWS, Kubernetes, Java",31,3.4,642,1
4072,Data Scientist,Oracle,Mumbai,7731949301,Contract,3-5 years,Masters,E-commerce,Hybrid,"Node.js, React, Kubernetes, Pandas",16,3.2,345,5
4073,Business Analyst,Flipkart,Mumbai,9241393580,Contract,8+ years,PhD,Cloud,Remote,"Java, Tableau, Machine Learning, Kubernetes",23,4.3,497,21
4074,AI Engineer,Microsoft,Coimbatore,9657524685,Contract,0-1 years,Bachelors,Cloud,Hybrid,"Tableau, Kubernetes, React, Docker",31,4.7,174,19
4075,Software Engineer,Amazon,Coimbatore,8500389929,Full-Time,5-8 years,Bachelors,Software,On-site,"Pandas, Node.js, JavaScript, Machine Learning",15,3.3,190,19
4076,Business Analyst,Cognizant,Mumbai,8799178648,Internship,1-3 years,Masters,Healthcare,Hybrid,"PyTorch, Java, SQL, JavaScript",38,3.7,666,26
4077,Product Manager,Infosys,Chennai,8171143381,Internship,8+ years,PhD,Software,Hybrid,"TensorFlow, AWS, Tableau, PyTorch",21,4.3,699,20
4078,Full Stack Developer,Capgemini,Hyderabad,8325975090,Contract,0-1 years,Bachelors,Software,Hybrid,"JavaScript, Tableau, Machine Learning, TensorFlow",23,3.2,121,14
4079,Data Analyst,Cognizant,Delhi,8201786906,Contract,3-5 years,Masters,Healthcare,Remote,"JavaScript, Tableau, Node.js, Power BI",37,4.0,449,9
4080,Software Engineer,TCS,Kolkata,9294560272,Internship,8+ years,PhD,AI,On-site,"Kubernetes, AWS, React, Tableau",22,4.8,781,12
4081,DevOps Engineer,Infosys,Ahmedabad,7722688983,Contract,0-1 years,Bachelors,Software,Hybrid,"Tableau, Docker, Pandas, AWS",30,4.3,166,10
4082,Software Engineer,TCS,Gurgaon,6746054981,Part-Time,0-1 years,Bachelors,Healthcare,On-site,"Node.js, PyTorch, Docker, Python",36,4.1,159,28
4083,Software Engineer,SAP,Delhi,7800787645,Full-Time,5-8 years,Bachelors,IT Services,On-site,"Power BI, Node.js, Docker, PyTorch",19,5.0,545,28
4084,Data Analyst,Accenture,Noida,7149067456,Internship,8+ years,Masters,Software,Hybrid,"Machine Learning, React, Python, AWS",18,3.1,447,21
4085,AI Engineer,Infosys,Ahmedabad,9289878698,Part-Time,0-1 years,Bachelors,FinTech,On-site,"React, Python, TensorFlow, Pandas",30,3.6,45,5
4086,Cloud Engineer,Accenture,Coimbatore,6644393079,Full-Time,8+ years,Masters,Software,On-site,"Pandas, Kubernetes, Python, Java",17,4.3,702,5
4087,Data Scientist,IBM,Mumbai,7753877992,Internship,3-5 years,Masters,Healthcare,Remote,"Java, Python, SQL, React",19,4.4,43,2
4088,Software Engineer,Flipkart,Delhi,6410323516,Contract,8+ years,Bachelors,Healthcare,Hybrid,"SQL, Java, Node.js, Tableau",34,3.2,34,7
4089,Product Manager,SAP,Gurgaon,7647748060,Contract,3-5 years,Bachelors,Healthcare,Remote,"Python, Java, AWS, Pandas",25,3.1,96,7
4090,Backend Developer,TCS,Gurgaon,7731142024,Internship,8+ years,Masters,Software,Hybrid,"Docker, React, Pandas, Machine Learning",24,3.5,471,22
4091,Backend Developer,Amazon,Mumbai,6146046500,Contract,1-3 years,Masters,Cloud,Hybrid,"SQL, Kubernetes, Docker, Power BI",21,3.6,103,25
4092,Data Scientist,Wipro,Noida,6383442705,Contract,5-8 years,Bachelors,Software,Remote,"Tableau, Power BI, Docker, AWS",14,4.8,488,2
4093,Frontend Developer,Wipro,Mumbai,9423299754,Internship,3-5 years,Masters,AI,Remote,"JavaScript, PyTorch, TensorFlow, Docker",32,4.5,197,14
4094,Full Stack Developer,Amazon,Coimbatore,6156880881,Contract,5-8 years,PhD,IT Services,On-site,"Kubernetes, TensorFlow, Node.js, Python",19,3.1,222,7
4095,Data Analyst,Wipro,Chennai,8770413978,Full-Time,3-5 years,Bachelors,E-commerce,Remote,"Docker, Tableau, Machine Learning, JavaScript",8,4.0,132,29
4096,Data Analyst,Google,Kolkata,8270249212,Internship,8+ years,Masters,Healthcare,Hybrid,"TensorFlow, Python, PyTorch, Power BI",34,4.1,554,14
4097,Backend Developer,Cognizant,Coimbatore,9311495295,Contract,1-3 years,Bachelors,Software,Hybrid,"Kubernetes, Docker, Pandas, Java",20,3.9,327,27
4098,AI Engineer,IBM,Gurgaon,6093298595,Part-Time,5-8 years,PhD,AI,Hybrid,"Node.js, SQL, Docker, React",27,3.5,648,23
4099,Backend Developer,Wipro,Ahmedabad,8596089723,Contract,5-8 years,Bachelors,FinTech,On-site,"Java, SQL, React, Machine Learning",20,4.3,273,27
4100,Business Analyst,Oracle,Mumbai,6520089688,Internship,5-8 years,PhD,AI,Remote,"SQL, Java, AWS, PyTorch",4,3.7,82,26
4101,AI Engineer,Wipro,Ahmedabad,8276824883,Contract,0-1 years,Masters,Healthcare,Remote,"React, PyTorch, Kubernetes, TensorFlow",10,3.4,568,29
4102,Business Analyst,Infosys,Hyderabad,9044076077,Internship,1-3 years,Masters,AI,Hybrid,"Tableau, Pandas, Node.js, Machine Learning",33,3.9,528,15
4103,Software Engineer,Freshworks,Pune,9066321417,Contract,1-3 years,Masters,Healthcare,Remote,"Tableau, SQL, Python, Node.js",29,4.9,544,21
4104,Data Scientist,Freshworks,Pune,9029311278,Part-Time,8+ years,Bachelors,E-commerce,Hybrid,"React, Python, PyTorch, JavaScript",34,4.1,759,10
4105,AI Engineer,TCS,Coimbatore,8116485664,Contract,1-3 years,Bachelors,AI,Remote,"Power BI, PyTorch, Kubernetes, JavaScript",32,3.1,400,28
4106,Business Analyst,Zoho,Chennai,9095423090,Part-Time,5-8 years,PhD,E-commerce,Hybrid,"Docker, Python, Tableau, SQL",36,4.6,112,4
4107,Full Stack Developer,TCS,Noida,9300971707,Contract,3-5 years,Masters,AI,Remote,"Machine Learning, Pandas, Kubernetes, Java",28,3.9,618,29
4108,Backend Developer,Zoho,Noida,9378304142,Contract,1-3 years,PhD,Cloud,Hybrid,"Pandas, Kubernetes, Machine Learning, TensorFlow",26,5.0,675,19
4109,Backend Developer,Freshworks,Pune,9928065776,Full-Time,8+ years,Bachelors,Software,Remote,"PyTorch, Kubernetes, React, SQL",26,4.7,13,13
4110,Software Engineer,Zoho,Kolkata,8089951192,Full-Time,3-5 years,Masters,FinTech,Hybrid,"Power BI, Kubernetes, Docker, Tableau",38,4.9,176,8
4111,AI Engineer,Accenture,Coimbatore,7220290368,Internship,5-8 years,Masters,AI,Remote,"TensorFlow, SQL, Machine Learning, JavaScript",10,3.8,139,15
4112,Backend Developer,SAP,Pune,7784927029,Full-Time,5-8 years,PhD,Cloud,Remote,"Machine Learning, SQL, Pandas, JavaScript",31,4.5,208,11
4113,Frontend Developer,Zoho,Pune,8271254438,Part-Time,5-8 years,Bachelors,IT Services,Hybrid,"Java, Machine Learning, Docker, Tableau",24,3.4,362,22
4114,Data Analyst,TCS,Mumbai,9115051215,Internship,3-5 years,Bachelors,IT Services,Hybrid,"Python, Docker, Machine Learning, JavaScript",26,4.0,249,8
4115,Full Stack Developer,Oracle,Coimbatore,9530779252,Full-Time,1-3 years,PhD,Software,On-site,"Node.js, Tableau, PyTorch, React",19,3.9,227,25
4116,Frontend Developer,Accenture,Noida,6907395831,Full-Time,1-3 years,Bachelors,Healthcare,Remote,"PyTorch, Power BI, AWS, Python",8,3.8,295,22
4117,Data Scientist,Freshworks,Coimbatore,9189222113,Full-Time,5-8 years,Bachelors,AI,On-site,"Pandas, Kubernetes, Java, Docker",11,3.7,45,19
4118,Data Analyst,Freshworks,Bangalore,6495179726,Contract,8+ years,Bachelors,FinTech,Remote,"Machine Learning, Java, AWS, Pandas",17,3.3,306,2
4119,Data Analyst,Infosys,Bangalore,8571931215,Full-Time,5-8 years,PhD,Software,Hybrid,"Power BI, TensorFlow, SQL, AWS",13,4.1,193,7
4120,Business Analyst,Infosys,Kolkata,9096493253,Full-Time,3-5 years,Masters,FinTech,On-site,"PyTorch, React, Machine Learning, AWS",12,4.7,444,25
4121,AI Engineer,Microsoft,Noida,8378486896,Full-Time,0-1 years,Bachelors,Cloud,Hybrid,"SQL, React, TensorFlow, Docker",33,3.1,699,26
4122,Cloud Engineer,Microsoft,Kolkata,7918784229,Full-Time,3-5 years,Bachelors,IT Services,Hybrid,"Node.js, JavaScript, React, Kubernetes",12,3.7,11,20
4123,Software Engineer,Zoho,Delhi,8184968843,Contract,8+ years,Masters,Software,On-site,"PyTorch, Kubernetes, Python, AWS",17,3.3,767,13
4124,Business Analyst,Wipro,Mumbai,7687954538,Part-Time,3-5 years,PhD,E-commerce,On-site,"Python, TensorFlow, Docker, Tableau",24,3.4,793,8
4125,Frontend Developer,Freshworks,Pune,7600249376,Contract,0-1 years,Bachelors,Cloud,Hybrid,"AWS, Machine Learning, Docker, Kubernetes",7,3.0,126,28
4126,AI Engineer,Zoho,Bangalore,6370249803,Full-Time,3-5 years,Bachelors,IT Services,Remote,"Java, Tableau, Kubernetes, Node.js",39,3.3,376,26
4127,Machine Learning Engineer,SAP,Chennai,9154322132,Full-Time,3-5 years,Bachelors,Software,Remote,"SQL, Power BI, Pandas, Kubernetes",25,5.0,594,22
4128,Cloud Engineer,Infosys,Delhi,9959738238,Contract,8+ years,Bachelors,Software,Hybrid,"Node.js, Docker, Power BI, Pandas",23,3.1,277,26
4129,Frontend Developer,Wipro,Chennai,6848049069,Full-Time,8+ years,Masters,FinTech,On-site,"PyTorch, Docker, Machine Learning, Java",10,4.6,539,30
4130,AI Engineer,Infosys,Mumbai,6972517675,Contract,3-5 years,Masters,Software,Remote,"Tableau, SQL, Python, Machine Learning",31,3.3,395,11
4131,Backend Developer,Microsoft,Mumbai,8176843713,Contract,8+ years,Masters,Cloud,On-site,"Pandas, Docker, Java, Power BI",15,3.3,644,1
4132,Business Analyst,Oracle,Noida,6415868312,Part-Time,0-1 years,PhD,AI,Remote,"Power BI, Python, AWS, Tableau",31,3.3,133,18
4133,Data Scientist,Microsoft,Hyderabad,7283055087,Internship,1-3 years,Masters,Healthcare,On-site,"Node.js, Kubernetes, Tableau, SQL",26,3.6,97,22
4134,Machine Learning Engineer,Microsoft,Kolkata,8283673576,Part-Time,8+ years,Bachelors,Software,Hybrid,"Pandas, Docker, Java, React",38,4.1,572,15
4135,Data Analyst,Infosys,Mumbai,8293452185,Internship,1-3 years,Bachelors,IT Services,On-site,"Docker, PyTorch, Pandas, SQL",19,3.3,614,1
4136,Business Analyst,Flipkart,Chennai,8498414422,Contract,8+ years,Bachelors,Healthcare,On-site,"PyTorch, SQL, Pandas, Power BI",9,4.7,651,7
4137,Software Engineer,Cognizant,Bangalore,7241749576,Contract,1-3 years,Bachelors,Cloud,On-site,"Docker, JavaScript, Python, TensorFlow",18,4.3,445,25
4138,Software Engineer,Accenture,Noida,8195936923,Full-Time,8+ years,Masters,AI,Remote,"Python, React, JavaScript, TensorFlow",4,3.3,284,29
4139,Frontend Developer,Microsoft,Kolkata,9647947155,Part-Time,3-5 years,Bachelors,AI,On-site,"Kubernetes, Java, SQL, JavaScript",22,3.6,552,16
4140,Product Manager,Accenture,Bangalore,8633091202,Full-Time,0-1 years,Masters,IT Services,Hybrid,"Pandas, Node.js, Docker, AWS",5,3.1,99,29
4141,AI Engineer,Wipro,Hyderabad,7919414282,Part-Time,3-5 years,Bachelors,AI,Remote,"Docker, Machine Learning, React, Power BI",33,4.8,156,27
4142,Frontend Developer,TCS,Hyderabad,9628901991,Internship,1-3 years,PhD,IT Services,On-site,"Power BI, TensorFlow, JavaScript, Node.js",14,4.9,238,20
4143,Full Stack Developer,SAP,Chennai,6884362266,Part-Time,1-3 years,PhD,Cloud,On-site,"PyTorch, TensorFlow, JavaScript, Java",15,4.9,585,17
4144,AI Engineer,Capgemini,Pune,7438763473,Contract,1-3 years,Masters,Software,Remote,"Node.js, SQL, Power BI, AWS",19,3.1,205,14
4145,Product Manager,Wipro,Chennai,7671381879,Internship,0-1 years,Bachelors,IT Services,Hybrid,"Python, TensorFlow, Docker, React",38,4.8,94,27
4146,Machine Learning Engineer,Oracle,Chennai,7684610417,Internship,1-3 years,Bachelors,Healthcare,On-site,"AWS, PyTorch, Kubernetes, React",29,3.4,785,27
4147,Cloud Engineer,Google,Ahmedabad,7693476725,Internship,5-8 years,Masters,Cloud,Hybrid,"Power BI, JavaScript, Docker, Machine Learning",40,3.4,73,25
4148,Data Analyst,SAP,Noida,7118700262,Contract,1-3 years,Masters,E-commerce,Hybrid,"Power BI, Pandas, Node.js, Python",37,3.7,218,11
4149,Software Engineer,Zoho,Hyderabad,7859809783,Full-Time,5-8 years,Masters,Software,Remote,"PyTorch, TensorFlow, Node.js, Python",13,4.2,322,23
4150,Software Engineer,Freshworks,Pune,7675951976,Internship,3-5 years,Masters,AI,On-site,"Kubernetes, AWS, Machine Learning, Python",36,4.5,711,17
4151,Software Engineer,Microsoft,Bangalore,9180768579,Contract,5-8 years,Bachelors,E-commerce,Hybrid,"PyTorch, Java, SQL, Kubernetes",37,4.3,715,2
4152,Frontend Developer,Freshworks,Ahmedabad,7637971423,Internship,5-8 years,PhD,Software,On-site,"Power BI, Machine Learning, PyTorch, Tableau",25,3.5,343,8
4153,DevOps Engineer,Infosys,Hyderabad,6408909978,Full-Time,1-3 years,Bachelors,Software,Remote,"Docker, Java, AWS, Kubernetes",31,3.7,70,15
4154,Cloud Engineer,Cognizant,Pune,7539576104,Internship,8+ years,Masters,AI,On-site,"PyTorch, SQL, JavaScript, Machine Learning",17,4.1,238,20
4155,Business Analyst,TCS,Kolkata,9413486797,Internship,1-3 years,Bachelors,E-commerce,Remote,"Machine Learning, Docker, SQL, AWS",38,3.1,227,1
4156,Data Scientist,TCS,Mumbai,9225821151,Part-Time,5-8 years,Masters,AI,Hybrid,"Pandas, Tableau, TensorFlow, Power BI",29,4.1,743,5
4157,Business Analyst,IBM,Mumbai,7065878284,Contract,8+ years,Bachelors,FinTech,Hybrid,"Python, Machine Learning, Tableau, Power BI",36,4.9,287,18
4158,Data Scientist,Zoho,Hyderabad,7460277434,Full-Time,8+ years,PhD,Cloud,Remote,"React, Pandas, JavaScript, AWS",9,4.9,368,23
4159,Cloud Engineer,Oracle,Coimbatore,6843969999,Internship,0-1 years,Bachelors,Cloud,Hybrid,"Python, Power BI, Java, Node.js",21,4.5,776,18
4160,AI Engineer,Amazon,Noida,9651532179,Part-Time,0-1 years,PhD,Cloud,On-site,"Tableau, Python, Java, Node.js",27,3.9,630,12
4161,Business Analyst,Flipkart,Noida,9262525581,Contract,0-1 years,Bachelors,E-commerce,Remote,"JavaScript, AWS, SQL, Node.js",21,4.9,239,30
4162,Full Stack Developer,Accenture,Noida,8014580532,Internship,8+ years,PhD,E-commerce,Hybrid,"Node.js, PyTorch, Pandas, AWS",34,3.4,106,16
4163,Data Scientist,Flipkart,Gurgaon,7049656634,Part-Time,8+ years,PhD,Software,On-site,"JavaScript, Docker, Kubernetes, Pandas",34,3.6,326,10
4164,Data Scientist,Freshworks,Ahmedabad,6528385554,Full-Time,0-1 years,PhD,Healthcare,Remote,"Java, Python, Docker, React",27,4.7,601,4
4165,Cloud Engineer,Zoho,Gurgaon,6304566029,Internship,0-1 years,Masters,Cloud,Remote,"Java, TensorFlow, SQL, JavaScript",26,3.4,651,22
4166,DevOps Engineer,Microsoft,Hyderabad,7982882656,Internship,0-1 years,Bachelors,FinTech,Hybrid,"Python, Pandas, Machine Learning, JavaScript",27,4.7,456,30
4167,Data Analyst,Microsoft,Pune,7199927265,Internship,0-1 years,Bachelors,E-commerce,Remote,"Machine Learning, PyTorch, AWS, React",23,3.9,736,27
4168,Data Analyst,SAP,Mumbai,8027954201,Contract,1-3 years,Masters,Healthcare,Hybrid,"TensorFlow, Machine Learning, Kubernetes, Pandas",13,4.1,261,13
4169,AI Engineer,Accenture,Delhi,6006023554,Part-Time,0-1 years,Masters,Cloud,Remote,"React, Kubernetes, PyTorch, Docker",8,3.8,488,22
